publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,macrophyte_identification,dm_gm2,log_dm_gm2,dm_gm2_value,dm_gm2_conversion,dm_gm2_location,tp_stock_gm2,log_tp_stock_gm2,tp_stock_gm2_value,tp_stock_gm2_conversion,tp_stock_gm2_location,tn_stock_gm2,log_tn_stock_gm2,tn_stock_gm2_value,tn_stock_gm2_conversion,tn_stock_gm2_location
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,abovground Phragmites communis,3342,3.524,mean,none,table 1,3.76,0.575,mean,% with g/m2 to calculate g/m2,table 2,39.31,1.595,mean,% with g/m2 to calculate g/m2,table 2
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,abovground Phragmites communis,6056,3.782,mean,none,table 1,6.06,0.782,mean,% with g/m2 to calculate g/m2,table 2,69.28,1.841,mean,% with g/m2 to calculate g/m2,table 2
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,"Okada and Vymazal, 2023",Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,Phragmites australis,-9999,-9999,NA,NA,NA,3.2,0.505,minimum,none,table 4,-9999,-9999,NA,NA,NA
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,"Okada and Vymazal, 2023",Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,Phragmites australis,-9999,-9999,NA,NA,NA,4.05,0.607,maximum,none,table 4,-9999,-9999,NA,NA,NA
"Bergamini et al., 2001","Bergamini, A., Pauli, D., Peintinger, M., & Schmid, B.",2001,"Relationships between productivity, number of shoots and number of species in bryophytes and vascular plants",Journal of Ecology,https://doi.org/10.1111/j.1365-2745.2001.00613.x,NA,Switzerland,Switzerland,montane calcareous fen,fen,wetland,wetland,total aboveground bryophyte community,157.5,2.197,mean,g/0.04m2 to g/m2,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Bergamini et al., 2001","Bergamini, A., Pauli, D., Peintinger, M., & Schmid, B.",2001,"Relationships between productivity, number of shoots and number of species in bryophytes and vascular plants",Journal of Ecology,https://doi.org/10.1111/j.1365-2745.2001.00613.x,NA,Switzerland,Switzerland,montane calcareous fen,fen,wetland,wetland,total aboveground vascular plant community,397.5,2.599,mean,g/0.04m2 to g/m2,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Bergey et al., 1992","Bergey, E. A., Balling, S. F., Collins, J. N., Lamberti, G. A., & Resh, V. H.",1992,Bionomics of invertebrates within an extensive Potamogeton pectinatus bed of a California marsh,Hydrobiologia,https://doi.org/10.1007/BF00010775,NA,California,United States of America,Coyote Hills Marsh,non_tidal_coastal_wetland,wetland,wetland,Potamogeton pectinatus monoculture,173,2.238,minimum,none,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Bergey et al., 1992","Bergey, E. A., Balling, S. F., Collins, J. N., Lamberti, G. A., & Resh, V. H.",1992,Bionomics of invertebrates within an extensive Potamogeton pectinatus bed of a California marsh,Hydrobiologia,https://doi.org/10.1007/BF00010775,NA,California,United States of America,Coyote Hills Marsh,non_tidal_coastal_wetland,wetland,wetland,Potamogeton pectinatus monoculture,209,2.32,maximum,none,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Bergman and Bump, 2015","Bergman, B. G., & Bump, J. K.",2015,Experimental evidence that the ecosystem effects of aquatic herbivory by moose and beaver may be contingent on water body type,Freshwater Biology,https://doi.org/10.1111/fwb.12595,NA,Michigan,United States of America,Isle Royale National Park water body,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,total macrophyte community,58,1.763,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Bergman and Bump, 2015","Bergman, B. G., & Bump, J. K.",2015,Experimental evidence that the ecosystem effects of aquatic herbivory by moose and beaver may be contingent on water body type,Freshwater Biology,https://doi.org/10.1111/fwb.12595,NA,Michigan,United States of America,Isle Royale National Park water body,pond,shallow_lake_and_pond,other_fw_benthic_system,total macrophyte community,136,2.134,mean,none,table 4,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
